content,predicted_topic
App really trying too hard to force you to pay ands asks too many questions,0
Tried the free trial at 7am two hrs in this app had me on non truck routes and one neighborhood. Then checked my subscriptions truck path was going to charge my account 143.00 dollars on the 4th of april. No way cancelled it less than 4hrs of the 7 day trial straight ripp off...,4
I see that decide to rip driver off. Well goodbye. Ripoff.,0
"Had me running around chicago telling me to go under all the low clearance bridges even though i had my settings configured for a 13'6"" refer trailer took me to 4 different 13'0"" bridges app is absolutely worthless get a dedicated truck gps like garmin or rand mcnally its worth the money",2
"UPDATE 03.23.2022 I am seriously disappointed in the new changes that Trucker Path has made to this app. Now when I open the app I get hit with 3 and 4 completely useless ads that cover the entire screen. You're making a once really great app into another commercialized frustration We need a Trucker Path replacement. Update, I JUST WANT THE APP TO TURN ON. GET RID OF THESE STUPID ADS! Update. No the app is kicking me out and over to Google Play. This is just plain UNSAFE!",4
It use to be good,0
I want to give this a good review but I can't. Because the mileage is different from the first click to what's on the full page. Since the last update it's worse now the maps are disappearing from the screen,0
This app is nothing but ads as soon as you push one button it goes to 4 different ads you press the button again and goes to 4 to 5 more ads and even sometimes opens up the Google store and try to make you install the app that it's advertising this app is extremely annoying and unless you're willing to pay for the upgrades on it it's worthless,2
Well I tried it for the free week. I cancelled it a day or 2 before day 7. Still got charged for it. Contacted trucker path they said I had to go through Google. They are a joke and piss poor customer service.,0
Not road friendly tells me to take illegal turns,0
This was a very good app but they want you to pay for things that were free 👎,0
This app doesn't take you to the actual site and it also takes you to streets that you can't go down.. It's not a good app right now. 😒,3
This app has become absolutely ridiculous. You have to pay for every single little feature now. As well as being inundated with ad spam non-stop. I just tried to open the app to look ahead and see what truck stops are along a certain route that I was deciding to take. I had to close out eight different pop-ups before I could see the map. This app has gotten ridiculous ever since it has been taken over. I cannot wait to see somebody make an alternative and shut you down!,2
"Changed my review from 5 to 1 star because of the pop up adds. So annoying when you got one mile to decide if you want to stop or not. I'll be looking for another. No, I don't want your sucky navigation!",0
**edit 3/29/22**Used to be a good app. Now it's barely usable just for ad pop-ups. Need a lite version that does nothing but list truckstops. No navigation or any of the other stuff.,3
doesnt want to download too much difficult to add the app,0
Retired from 47 years and they still take money even after uninstall,0
"App just updated.. And now I try to find a route from point a to point b and I always get ""something went wrong error"" tried multipul times. Uninstalled.",0
Went from being a great resource to being a pain to use. Multiple pop ups before being able to use the map is making me not want to use the app. It is getting to be too difficult to use when you're in a hurry for quick info. Wont be using much longer.,4
How many pop up apps are you planning on having us click out of everyday? Had 6 in a row just now.,0
Slow takes 15 minutes to reroute dose not avoid tolls when set to avoid tolls canceled membership on 7th day still took the monthly payment.,0
There's no universe that exists where I would pay that price for this app when there are other apps that do this for free.,0
3-4 popup ads when you start it than an ad for a premium subscription is getting old,0
"Don't waste your money. The app is useless for a trucker that needs to see ahead a couple of miles down the road. While driving the view is so close that you are unable to react on time, like a truck stop or gas station. By the time you see it in the map you passed it. The view is like 800 feet ahead. Emailed them 3 times, no response Chat is useless because they can't help with this issue. If you set the map to north it goes west all the time.",2
Not free,0
Not working,0
So many ads not worth it and I'm not paying for it,0
Stops my calls from coming through when in use.,0
Some routes are not exactly for commercial Vehicles preferred System make difficult to complete profile Even harder to get customers service to answer back 14 days while is 7 day to test how good or bad is the product Point of interest along the routes have more steps than need to be. Maybe in a year or two get better,0
With this pop up commercial this app became very annoying.. I'm already looking for replacement!,0
What was once a great app... The amount of popup ads has to be contributing to distracted driving. The ads... Just... Won't... Stop.. popping up!,4
"Calling all Non-greedy developers, please build a similar app that doesn't overwhelm us with ads. This app is handy when it isn't hounding you to pay a subscription (which would be a waste of money) or bombarding you with ads so that it's actually annoying to open the app.",3
"I have made several attempts to deactivate my account and they refuse to deactivate. Beware before you sign up, it will take an act of God or a lawsuit to get this people to deactivate your account.",0
"This was a great app to you however it has been more annoying than useful to me as a truck driver. Pop-up windows I don't need, ads pop up all the time when I needed the most preventing me from using it.good luck!",2
Try to search for fuel in a certain city and gives me prices for places nowhere near the city I was Searching for,0
"Gps will send you to the wrong address then say to go through a fence, houses or forest to get to your destination. The last straw was when it sent me the other day 8 miles in the wrong direction and then said I had arrived at my destination.",0
Trash app....,0
Four pop up ads before it lets ypu use it. No thanks.,0
"Never able to reach the final destination with a big rig and keep asking for unlawful U-turn. Even if Google Map helps the destination, this trucker path keeps persuasively send us back to a wrong address...",4
Not worth the money And we'll take your money at your bank account after the 7 day free trial if you don't cancel it,4
Did doesn't show DOT spots like it used to anymore,0
Cancel this app is a run around trust me,0
this app has become awefull takes too long to load many error screens on availability and details. Update... This app has gone from aweful to highly frustrating... No longer useful for just getting a quick list of truck stops along a route. Have to constantly fight off the pop-ups for premium services and trials...stop it...I just need some fast information... If you are on a slow data connection...this app will not even work tho other apps will... I will be unistalling and using another.,3
I told them I did not want to pay for it any longer and still money is being taken out of my account. I did what I was told and still I get charged.... Not very happy right now,0
"While checking a status, something popped up quickly & subscribed me to diamond status. I tried to unsubscribe, but it just takes me to the app page in the Google Play Store. It does not even show up in my account for my subscriptions starting how much I will be charged when the free trial is over. Please cancel this subscription.",3
Paid truck routes,4
App is great. But I no longer need it. Uninstalled it. And thought I canceled my subscription by doing so. This morning it took the total amount out of my account. Need to be able to pause subscriptions,0
They sell your information. You will recieve spam phone calls if you give them your number.,0
Will not let you report fuel over 4.99gl so almost every fuel report is off,0
"fuel prices wont keep up with the economy, programming limits updates of overwhelming prices due to the war. so this app is unuable to find good fuel locations",4
Want to unsubscribe they charge me without my concern.,0
Always some problems with ...errors...I paid for Dimond Account they charge me via Google pay after 1week my account was blocked because they didn't upgrade my account but I was charged for it lol. When I contact Trucker Path they say they are very sorry but they can't do anything because I use Google pay and I have to contact Google. Google say they paid for Truckers Path and I should have my Dimond account to the app. So I contact Trucker Path again and nothing happens lol this app is a scam,4
Not a good app,3
Took money from my bank the 4th of the trial,0
You have to pay for the actual truck route map 🖕🏽,4
DO NOT TRUST FUEL PRICES IN THIS APP!!! Used to be a great app... Unfortunately truckstops have begun taking advantage of the ability to change fuel prices luring owner operators in after running fuel low to get to the stop for cheaper fuel. I've been all over the country and noticed this is happening every where. I have personally updated fuel prices and watched as the truck stop changed the price back to a false prices before i even left the fuel island!,4
Chinese company ... don't buy or download.,0
"I downloaded the app. I added my credit card information and it didn't allow me to access the truck routes. Meanwhile, it's trying to charge $150 to my credit card when it wouldn't work for the 7 free days. I want to unsubscribe.",4
Won't let me unsubscribe everytime I hit unsubscrive it brings be back to the Uninstall or open app screen in the play store. Please advise,2
"Trash, bloated, overpriced, not even functional trash",0
You can't navigate without pay,0
How do u cancel this subscription,3
Don't let u update your location,0
I want to cancel my subscription!!! But I'm having trouble find where to do so.!!!!!,3
They tried to take 900 from my account,0
Useless. Can't select to be weighing more than 90k. Move on and find something practical.,0
Wont let me unsubscribed keep telling me to make u-turns anybody that drives a rig know that you can make u-turns,4
"I think this app might be hacked, or something like that. I signed up for premium trial for truck routing and 4 days before I was supposed to be charged the app tried to charge $162 to my credit card through Google. Luckily my bank flagged it and I was able to deny the charge. Needless to say I will not be continuing my premium subscription.",0
"Totally broken for me now. GPS is useless for trip planning because everytime i try to route a trip it sets the origin point to some parts warehouse in Canada. Im in Colorado so, yea. No help. Dont know whats going on but ive tried everything and it still says im in Canada but the other maps on my phone is just fine.",2
"Iv had this downloaded for awhile now. I unstalled it cuz it was acting up. When I try to download it again, all it says is pending. So I can't get this bk on my phone? Can anyone from trucker path help me out?",4
"This app is a waste of time and money. It may take you on a truck route most times, it just taken me on a no trucks route. It takes you the least direct to your destination. I'll send the money and buy a truck gps system.",1
It is a scam they tell you you get one week free and then $9.99 a month and then they ran my card twice for $99 then they claim they can't do a refund because Google charged my account not them it is a scam do not use them they will steal money from you,0
"Not to bad, however it claims that roads are closed when they are not! Seems to want to send you long way around.. that's why I gave it a one star.",0
Freezing. Not showing proper way. Worst app I ever used. Ok thanks!,3
"I give it 1 star because it wasn't that easy to navigate the app, let alone quickly find the address bar to enter in a destination. I think avoiding weigh stations should be a routing option as well. The layout of the app is just not all that user friendly. I can see using this app as a supplement but definitely not my main mapping app and definitely not paying for the app.",1
How do i stop my diamond services. When I click unsubscribe it takes me back to play store to open the app I already was open to. There seems to be no customer service help options either. I'm stuck with paying subscription i dint want.,0
This used to be an okay app. But now you have to pay for truck navigation which is the main reason you'd get this app. Just use Hammer or Truck Map.,1
Poor,0
"'Truck route' part behind paywall, i could understand all the optimisations and all being behind the paywall but not the truck route part.",4
Routes and navigation are substandard. Will route you thought roads that are difficult to negotiate and restricted. App slows down after you pay. Save your money and buy a gps.,0
I got a better phone so the crashing stopped mostly but since I've been using it I've noticed a lot of key perks to having the app have been removed like th option to avoid weigh stations and multi route option,4
"The have 5 second full screen Ads that pop up when you launch the app, another full screen add when you close that one, another banner of ads at the bottom of the location details then they want a monthly subscription? HAVE YOU LOST YOUR MIND. ILL JUST USE MY GARMIN. UNINSTALLED Update, tries the app again and 4 ads pop up just after starting the app. Lol someone need to make a app to compete with this money grabbing pile of trash.",2
"While the developers did update this app to change my complaints, I can't give it more than one star. This app, despite stating it won't send you a non truck road, lead me down a path where railroad tracks ended up damaging my landing gear. Please, if you have the money, buy yourself a proper GPS and save yourself the headache.",3
signed up for the 7-day free trial don't like it and now I can't find the cancel button before they charge me.,4
"They don't know how to make real money to support the app... therfore it sucks..! Pay for this pay for that, give us your info.",2
Why have a diamond plan when it takes forever to load a route and the navigation in my opinion isn't any better than alternatives with less out of pocket pulling.,0
Stop charging for service that I haven't used in over 6 months,0
Won't let me unsubscribe,4
Not user friendly at all. Do not force me to click through nonsense.,0
"I switched to a free app heard about called HAMMER. Too many wrong directions and roads that are restricted to trucks. Have to reset and turn back on often, and then takes awhile for it to ready itself, a lit if putting in information all over again. Many times I ended up on a 2 lane road no where to turn around for about 20 plus miles. One time destination was less than quarter mile, before app sent me to turn away. I usually called ahead for directions sometimes had to rely on GPS.",0
This app would not let me cancel subscription and tried charging me $160.00 at 4 am in CA one night. BIG SCAM,3
How do i unsubscribe? There is no Do Not Charge Me or cancel option.,0
Constantly staying hung up on the previous exit I just took. Will not show truck stops while navigating. I really shouldn't have to hit navigate 4 times to start getting directions. Crashes my s7tab all the time,2
extremely danger to follow this map.I regert for using and subscribe it.,0
Is it me or is their response to everything is we fixed it update I think people rather hear/read I'm sorry thank for the feed back we will look in to it then update when it truly is fixed,0
Dishonest app. Nearly impossible to unsubscribe.,0
Navigation feature is completely useless. Probably the worst I've ever seen.,0
This program sucks dick,0
"I signed up for the monthly billing plan, with the 7 day free trial. They immediately charged my account for a full year's subscription that I didn't opt for. I am trying to speak with someone and they are impossible to get ahold of. I have read the plan and if I cancel they won't refund me... don't get this load board they will screw you out of money just like they did to me. Highly unprofessional for a company to completely disregard the package I wanted and charge me a full amount.",4
Last Three months useless. Always an error or gives me directions to complete different state. Waste of money.,0
Day by day this app getting worst. Being difficult for using. Not comfortable! So many buttonts and windows! I use this app only for truck stops and weigh stations. I don't need any more places on this app.,2
Couldn't even get right locations,0
"can't wait for an alternative, gets worst with almost every update",0
You should be ashamed for asking money for every single feature on the app. Can use anything for free. I have asked more truckers to give you guys one star. Just watch what happens :) Stop being greedy,1
"It took me down a back country road (only 15 feet wide only ment for 2 smart cars side by side) with twists, turns, ups, downs, low powerlines, and no where to turn around. DON'T download or waste your money on this app.",0
The app informations and reporting g of turn by turn navigation is inaccurate and delayed .,0
If I could give it a negative rating I would. Worst connectivity on the planet. I'd be better off with a Garmin. How can you call yourself and navigation app if you can't connect anywhere?,0
"Updated: I've used this app for just over 2 years. Mostly for the convenience of seeing truck stops and rest areas along my route. Navigation is horrible, and I do mean horrible. Tries to have you go down residential streets, u-turns, etc.... make sure you zoom out to look at your route before you follow the route. Additionallly, ALWAYS having some kind of issue with app. For instance, right now you can't even pull up an address. If I need to use Google for navigation, why am I paying you?",1
If you are in ladero and you put fortworth texas like destination this will send you to PA,0
"Trucker Path s refusing to issue a refund sfter charging me 6 months which is $162.00 for a app that didnt work well for me. The gps was slower then i was driving and it may have been my phone, but the issue is i have not received a refund and only neen told to have google refund the monies which google doesnt do it is the responsibility of the developer. Do yourself a favor and get a app with better customer service you will thank me later.",0
Stop trying to force people to buy the gold or diamond package when they try to use the free version yall have really ruin this app tried to give it another chance just take it off the play store if your just gonna ruin whatever left of it,0
I deleted app accidentally. Now it won't take my password and the link it keeps sending me to reset it says. Error. How do I get my gold membership back I payed for. And reset my password,0
This app was a great app but the past year it's been nothing short of a disaster! There trying to be more than they need to be! Just point out the truck stops and weigh stations let the load board stuff up to a way better and more reputable app,4
What is going on with the app Every time you kick on a location it says loading and then error happens. Un install and reinstall but the same thing happens come on trucker path let's see if we can get I fixed,4
Once upon a time...but it's just a mass of loading error...read recent reviews b4 downloading,0
I've been using this app for several years now all the sudden I cannot get updates on weigh stations anymore if they are open or not. Uninstall and reinstall the app and keeps just saying error error,1
Always an error when updating status now!,0
"app is not working properly.. im trying to find a parking, but is not showing me any information about it",0
Very slow! Tells me they can't find almost all cities I put in. Very frustrating!!!,0
Scamers stealing your personal information and sharing it with Scamers everywhere; the support team is not responding .,0
If you get this cancel the free trial right away they charged me a $140 in 4 different payments in the 1st month.,4
Is not for free.👎,0
Won't let me Unsubscribe from the app.,4
I tried the app found it wasn't easy to use and I only needed it for one trip I was charged 150.00 dollars 7 days later so I canceled my subscription and Google is refusing to give me my money back do not sigh up for anything in this app 150.00 dollars is way to much to pay when I only used this app for 3 days,0
"Waste of money. For $250 per year you'll hear an annoying female voice that will have you going around in circles around Layton, Utah and will get you lost in Texas. It will try to make you take residential areas and make a u turn many times. There's better options.",0
So so disappointed with this app I tried on my iPad I tried on my tablet I tried on my iPhone and all it would do is freeze I would even turn off my device and when I turned it on it would be frozen so so so disappointed I'm out I'm going to get a Garmin or mc Nally,0
They made a new update where Everytime you press something a giant ad pops up that can only be removed by pressing the back button on your phone. I see this ad about 10 times per minute. Extreamly abnoxious and a very stupid move on the developers end. Sadly they have the menopoly on this service but I will look out for another app to compete with them.,1
This used to be a decent app... Now the frequency of ads appear every time you navigate in the app... Whomever they hired to do this should be sent packing... The nonsubscribers represent an integral usability to the app by providing useful updates to scales and such. Clearly they do not understand our community thus I'll be uninstalling and my recommendation is to pass and if you do have it to uninstall app...,0
Impossible to use without purchasing an 8-10 dollars a month plan. Prompts pop up so you can not see the map. Was working great a few weeks ago.,0
I have been using this app for years and now you can't get any information without the subscription being shoved down your throat. It really sucks because you get 10 popups for trying their services and can't even see the screen you want. Really has gone downhill. Uninstalled it. I will find another way.,1
new update makes it unusable. started at 12/31/21. pop up covering whole screen asking to start 7 day trial. Will pop up every 3 sec even if you close it. Can not use as a free app anymore.,1
The stupid ad for premium is always popping up now they must not be getting enough ad revenue,0
Sucks like usual and why pay it to much money,0
$300 a year and they insist on having your phone number so they can sell your info to spammers! I can buy a real GPS that will last for years rather than paying $300 every year for this. Using hammer app instead and it works great without the extra hassles,0
Have me making uturns alot and going wrong way,0
Didnt like it.,0
Stole 169 dollars out of my account and they not giving it back 😤😔🤧,0
This app sucks,0
The app fraudulently overcharged me thru Google and I'm fighting to get refunded,0
Don't try getting a refund the buck just gets past back and forth from Google to trucker to Google. What a scam. I will not be purchasing anything from Google again. Any time I tried the app after the free trail I'm lucky if it works properly. It shure work during the free trail. Stick to garmin or rand McNally,0
"For the love of God, give us an option to turn off the auto pop up for what our loading status is............. I'm just trying to look for dang parking, I don't use this app for loads... fix that I'll rate 5*...",2
Couldn't use unless you buy a plan. Ugh,0
"Not worth it, to expensive cheaper to buy a regular window gps for trucls",0
How can a truck GPS advise UTurns. Like. Come on,2
Do not sign up for free trial!!!! It's almost impossible to get out of it and hard to stop or get money back !!!!! Not worth the extra money anyways,4
"So if I type in Sheldon, IA. 51031 and sends me to California that's a no for me dog",0
Stupid sends you down wrong roads and tells you to make a U turn in a 53 foot truck stupid,0
"Insane amount of data usage coupled with crashes when I change time zones. If you add in the fact it reverts from mapvto satellite mode frequently, I think I will be canceling subscription for overdryve. The only positive is keeping me on truck routes, though it frequently changes my desired route.",4
If u decide like myself to cancel account they make it hard to do so.,0
"Won't let me cancel subscription been 4 months, and can't find contact number",3
"Signed up for the 7-day free trial, instantly got charged $30 for the month. Used the satellite view to test it out, looked at my house so I would know how recent the imaging was posted, they are using satellite images from over 4 years ago, I wouldn't trust it if you need to look for an entrance to a DC. Also, I don't know if I'd trust the directions if they are using old data. Just my experience and two cents.",2
Way to much money... I been trying to cancel and they won't let me,4
Trash you have to pay for,0
Why are you a trucking navigation app if you have to pay for truck navigation. You're an idiot if you pay for their service this app is easily replaced by Google search and Google Maps.,1
FRAUD!! WILL NOT CANCEL. They work as a small group explaining a cancelation takes review by different departments then you just don't hear back. In regards to why I canceled the app doesn't work any better than Google maps with the dimension of your truck. I do not recommend this app or the company. They did not cancel my subscription and continue to charge me over a year later. I have now listed their charge as fraudulent twice.,3
"""Finding truck stops near you"" I'm in Oregon. The truck stops *near me* are NOT IN WISCONSIN.",2
"Issues and they shorten paid memberships. First I didn't want to pay for it. Somehow on their ""ad"" i must have clicked the wrong button. Paid $150 ish Wich I thought was for a year. 6 months later it's cancelled. Terrible",0
"Useless, will say ""some spots"" available, which means paid spots ($15-20) app doesn't differentiate between free and paid spots, so what me and my many trucker friends from my blog do...is the opposite. If a truck stop says many spots, we will mark the truck stop FULL, if it's full, we will say there are MANY SPOTS available....we hope it screws up this bogus app and makes it useless, ha ha ha",0
DO NOT DOWNLOAD THIS APP!! It is glitcy and impossible to cancel your subscription. I've canceled twice and it keeps charging me. Beware...,3
Retarded that you have to pay for a membership just to navigate to your destination I mean in that case just charge from the apple/play store from the beginning and don't make us waste our time downloading and finding out that you have to pay from the start... don't waste your time on this app unless you tryna pay a monthly subscription.,1
I paid $30 and still can't see weight station prediction and avoid option on my app. So I open another account another same story. always problems no customers service too call. When i chat with them. They said they are sorry but they can't refund my money because of they policy. Don't waste your money,0
"Paying this app to see diesel prices and it shows none. Doesn't show any new updates, unstalled the app and install it again and still nothing.",0
Overpriced Garbage,0
You have to pay to start navigation,0
"Annoying voice, talks too fast and will run you down the wrong exit, if they're close together.",0
The $30.00 per month fee for commercial drivers is cost prohibitive. There's no way that I could afford it.,0
I've been paying for this app for over 2 years. It has recently come to the point of not working at all. Why am I paying for this???,1
"Slow, buggy, unreliable navigation.",0
How do you even cancel this POS? I click unsubscribe and it takes me to this Google play store page! What kind of scam are you running??,0
I use it on android phone. I pay for this app long time and there is no more avoid weight station options. And that was only reason why im was payig for. Gonna cancel probably,3
It's just a gps that's it. I need an app that provides hands free driving mode options like Google maps this app doesn't provide the same comfort when driving and needs to be updated for driving mode options. And when I unsubscribe it should do just that not take me to the app then charge me for a service I'm not satisfied with.,3
"Full of bugs. Updates only make problems worse. Worst 30 dollars monthly you can spend. Horrible lagged guidance. Goodluck using other ""features"" that don't work or load 75% of the time. 1 out of every 7 addresses don't show on map but on any other GPS they do. Horribly outdated map interface, frequently wrong and months behind road construction.",0
Keep trying to cancel my account and it won't cancel!,0
"the updated app wants access to your photos, media and other things. FOR WHAT?!!! Im uninstalling. (updated 3/27/19) Im afraid to get the newest updated based on the reviews ALONE!! I used to be able to put in my destination without an acct but YOU MUST have one in order to plan your trip. I am not giving this app any permissions. Not sure why the developers feel this is necessary NOW when it NEVER was an issue.",0
"I tried it, did not like it. I Uninstalled the app but trucker path charged me 270$ some how. I want a refund . Never clicked or saw anything about free trail, much less pay for an app that did not work for me. To many FREE apps out there !!!!!",3
Considering deleting app since now they want location at all times. Please don't answers my review saying this isn't the case as I've seen other complaints of the same nature.,0
"This app has suddenly started asking me to enable my location all the time. I have no interest in giving anyone access to my location 24 hours a day. Why does this app keep asking me to enable my location all the time? It blocks the map with this large square asking me to enable location all the time.***Your reply makes no sense. I just told you it is constantly asking for full time location. Your reply is that I constantly click ""later"" every time it constantly asks my location.",0
It was a great ap 4 yes ago it seems every time it updates it gets worse 😕 I rarely use it,0
The paid version sucks!! I have a Samsungs21. It crashes won't show fuel prices along route (only sometimes). And the navigation doesn't give you accurate information.. i hope they fix this I paid for 6 months!!!!,4
"Why do I pay monthly if weigh station prediction and ""avoid"" option doesn't work anymore ?",2
So much more needs to be done make this app good like able to click on icons for exits to see the numbers and not be so small then there are bridge weights that should be shown . Tons more needs to be available,0
This app is sucking more and more everytime ai go to use it ....seems like unless you pay for it your getting basic b.s. which gives you the same mapping as Google and well if you unblock me from downloading ill give it another try and give u a nother rating,0
Getting nothing but arrow code after arrow code ever since I did the last update today. Normally I'm bragging about this app.,0
"Been a paid subscriber for over a year, and sadly this app only seems to be getting worse. Currently it's neither returning any search results/addresses, and then after re-installing the app thinking it might solve the issue, it refuses to allow me to login, thereby making my subscription worthless. Edit: It seems as of November 2021, this app is broken. Several other reviewers have posted having similar issues.",0
Having some issues since update. The app kicked me out and I am no longer able to login or get directions,3
"Uninstalling and cancelling subscription, can't even login anymore, complete BS",0
Constant malfunctions very unreliable services,0
I can't login!!!!! I'm on the road!!!! You bustards!!!! No help!!!!! I paid you for service!!!! Phone hungs all the time you asking something!!!! With your f...ng popups!!! On the middle of the turn or in difficult situation!!!! I paid for not worrying me with your f..ng questions!!!! It's dangerous for driving!!!! Remove this fiature or give me a chose to disable your questions!!!!!,0
Constant errors constant shut downs... Won't even show def nor fuel prices anymore,4
"App doesn't work after update. Why should I pay for the app which is not working? ""Report us"" doesn't work!!!!",3
Terrible app. Very buggy and demands to onow location 24/7. I have to allow them to know where i am even when i am off work? No WAY!! Look elsewhere.,0
How do I get in touch with someone about this app? We are being double charged for it. It is set up to where its added to our Verizon bill and im paying it that way but they are also pulling it directly out of our bank account! Really like using this app but I need my money back from being double charged like this! This is ridiculous!,1
Horrible app will ask you to pay for it first before you can use it to get directions,0
Terrible,0
"App lugging I paid per month and not happy with it . If you get it don't buy it, use it for free only !!!",0
Was good last update has it all completely messed up. Please go back to the last version,0
This used to be a good app. Its now gone to hell. It will change your route if you stop or answer the phone. This is without your knowledge or permission. Dont trust this app. It also cannot find many addresses or takes you to the complete wrong place. Unsubing.,3
"Not worth the $. Now, how do I cancel?",0
"Absolutely terrible instructions. Exits wrong (154B != 154). Apparently every HOV entrance and exit is a whole separate highway worthy of an instruction to keep right using any available lane... ... But the best Impossible turns even with ""No harsh turns"" activated. All they did was use an algorithm to reduce roads a truck can't be on and then just give you the remaining car routing as if a 53' can make a 20' turn.",0
"""Trucker"" Path, but don't worry because if you're a trucker you have to pay $300/YEAR. That part used to be free, now you have to pay for it, change the name of your app. Your disgraceful to the entire trucking community. I won't come back even if it is free again, greed has ruined you.",4
What happened after this most recent update? Now I can't see the mileage or time of arrival anymore. It's like it's whited out. I pay $10 a month for this application and it needs to function properly. I've uninstalled it and reinstalled it again. Running Android 12 on a Google pixel 3. Please get this figured out.,2
I don't want it and don't need it.,0
Usually a good app but latest update they ask to track your location 24/7 even when apps closed whenever you open the app or use the center on self button.,3
Never loaded once I input the address,0
"I can't give zero stars or I would, this app sucks, it's not user-friendly and it lags something awful, I would recommend any other navigation at but this one in fact I would recommend get an atlas and planning your trip that way before using this app",0
"I don't know what they did, but there doesn't seem to be a way to cancel a route and back out of the route screen anymore. My app has been stuck on one route because there's no way to clear it.",2
Absolute garbage Hammer is a way better app.,0
It's not safe in areas where network is spotty. How do I unsubscribe? Freezes constantly... It only works when it wants to. I can't believe I am paying for this useless thing. I will be looking for an alternative. Freezes after each us. Right now I am parked because it can't navigate. It's frozen. I have tried restarting the phone and the app several times - nothing. I am a truck driver. This is nonsense.,2
Do not get or use this app I need a app for a couple days agreed to pay a couple dollars then get billed for $160 asked for return then tryed stopping payment they fought back and won. I didn't even use the app 1 week and all it did is tell me false info of crashs roll over and cops probably other people they ripped off fasly reporting think ill join them,2
"Poor... Cancelled this app, a day too late... Won't get a refund... 100 bucks down the drain",0
No trial.,0
"This app was suggested to me, but don't use if for business. The GPS guided me to location that what nowhere near the actual address and following it's directions caused me to have a load canceled. Buy a real GPS and don't miss out on money plus save yourself the headache.",0
Not to good keep loosen the app keeps going out,3
"This app has really taken a turn for the worst! When I pull the app up on the map screen, ALL I WANT TO SEE IS WHAT I HAVE SELECTED TO SEE! Everytime the screen is touched it automatically pulls up a screen from the bottom, when you try to get it to go away, it goes full screen. REALLY SUCKS when you are trying to select an icon to check parking availability or to see if a scale is open or not. WOULD GIVE 0.0001 OF A STAR IF I COULD!",0
It won't let me cancel my subscription,3
Ok,0
Chanrged me for Gold subscription wothout approval. Dishonest app and conpany download.,0
This app sucks👎....fuel prices are not accurated...30cent off,4
Was good to find truck stops and info but ended up being one big ad for their premium membership,2
Awful,0
Worst interface ever,0
"As a otr driver this use to be my go to app but not anymore. I don't know why you ""fixed"" what wasn't broken but I'm done! App is totally useless now.",2
Disappointed seems to never offer shortest/fastest truck route without entering additional stops along my preferred shortest route.,4
"Everything else is great but the maps, NOT at all.",0
Can't even download it.,0
It sucked did not like it as much as copilot,0
They've made cancelling your subscription too freaking difficult!,0
Why wont it install on my phone. Android galaxy? Had it on here befor,0
Must cancel ❌❌❌ stop service,0
"Don't waste your money with this app. The truck stop, rest area, and weigh station feature is great, but the gps sucks. The first route I tried is one I drive regularly and know the way to get there just fine in a semi. Well this app wanted me to go an hour out of my way bc it didn't recognize a state route that trucks drive everyday all day. It wants you to stick to solely interstate type roads and we all know that's not always possible nor is it time or cost efficient. Find another app guys.",2
"This app is hot garbage, do not get until it's patched. I decided to try this app for hours of service optimization and for route navigation and this is by far the most expensive and worst quality app out there. God forbid if you miss an exit in a metropolitan area because by the time it updates the route you've missed the exit that it suggests. It looks like a GPS app, but smells like road kill skunk. The community features are cool but navigation is unusable",0
"I'm only writing this review to let other know it won't let you cancel your trial once you're done. I'm not sure if this is happening to others, but this could happen to you.",4
Keep logging me out,0
This app has to many issues dropping GPS signal and freezing.,0
The free version sucks. I've heard that the paid ones are good but I'm not going to pay for it.,0
This app really has become USELESS AS USELESS CAN BE!!! It really was a nice ap about 5 years ago. It was clean overlooking and simple to use!! No its the opposite of it!!,0
Way too expensive for me,0
"Needs a lot of work. If you are looking for a navigation app that is buggy, will force close while navigating, and route you to the wrong location; then you've found your app. Install for a frustrating and confusing experience.",0
"A premium subscription was forced out of my account through Google and I cannot get any free trial canceled! I want refund issued and all fictional accounts deleted! I have been trying to cancel since day one of ""free trial "" and not able to, Thier sale tactic is to dodge your calls and messages!",4
Too complicated you're always trying to make me buy something that that I do not want to buy,0
For weight stations... what happened to the stats.... error message....,0
Is there an alternative to this application? This thing is littered with adds. They are killing this app again took away statistics feature.,0
Used this app a long while now all the sudden vant see weigh stations,0
"This app used to be great. Now you can't see recent comments anymore, you can't see previous stats of the weigh stations, even if you post a comment is not showing up. They limited so many features because they want you to subscribe. $9/month is way to much for what you guys offer. You trying to be Google maps, DAT 360 and much more. We pay DAT360 because is a reliable source for loads, you can't be that, never will be. Slow down, you started as a weigh station status app, be best at that.",3
It used to be okay and easy to use. It's too complex now I don't want to run trips through every time I open it.,0
"Trip map isn't separate anymore instead of just hitting the back button to the overall map you have to clear the trip just to look for any pins not on your route. Pointless ui ""upgrade.""",0
Horrible takes you on restricted roads do not reccomend,0
Doesnt work correctly,0
The app. Does what it's supposed to do. Unfortunately it charged me for a gold subscription I dodnt sign up for or apprv. Support is zero help. They put it on google. And Google apparently has no humans. I want this foxed!,0
nan,0
How do I get a refund I canceled my account must not do it Wright money was taken out of my account,0
Tried it. It tried to take me on two restricted routes. This app is not reliable.,0
Why would I agree to pay when you give me an app that's slow freezes n crashes. I've no complaints about the user interface or its features. The original free one is all I was looking for initially. Now 😡 it's making my work frustrating.. no my phone isn't the problem.. refund me. N use me for beta. I like this app the reason I'm here rather than just delete it.,3
Was a joke,0
Suxs,0
Not good trial then cancell they still $29 charged,0
